Osa01g00251,.,.,,
Osa01g00252,Zma3g0733,.,,
Osa01g00253,.,.,,
Osa01g00254,Zma3g0729,Zma8g0338,,
Osa01g00255,.,Zma8g0345,,
Osa01g00256,Zma3g0728,.,,
Osa01g00257,.,.,,
Osa01g00258,.,.,,
Osa01g00259,Zma3g0724,Zma8g0346,,
Osa01g00260,Zma3g0723,.,,
Osa01g00261,Zma3g0717,Zma8g0347,,
Osa01g00262,Zma3g0705,.,,
Osa01g00263,Zma3g0704,.,,
Osa01g00264,Zma3g0702,.,,
Osa01g00265,Zma3g0701,Zma8g0350,,
Osa01g00266,Zma3g0700,.,,
Osa01g00267,.,.,,
Osa01g00268,Zma3g0697,Zma8g0351,,
Osa01g00269,.,.,,
Osa01g00270,Zma3g0695,Zma8g0352,,
Osa01g00271,Zma3g0694,.,,
Osa01g00272,Zma3g0687,.,,
Osa01g00273,.,.,,
Osa01g00274,Zma3g0686,Zma8g0353,,
Osa01g00275,Zma3g0684,Zma8g0354,,
Osa01g00276,Zma3g0683,.,,
Osa01g00277,Zma3g0679,Zma8g0241,,
Osa01g00278,Zma3g0677,.,,
Osa01g00279,Zma3g0676,.,,
Osa01g00280,.,.,,
Osa01g00281,Zma3g0674,.,,Zma8g2859
Osa01g00282,Zma3g0673,.,,.
Osa01g00283,Zma3g0672,.,,.
Osa01g00284,Zma3g0671,Zma8g0358,,Zma8g2860
Osa01g00285,Zma3g0665,Zma8g0255,,Zma8g2862
Osa01g00286,.,.,,.
Osa01g00287,Zma3g0666,Zma8g0259,,.
Osa01g00288,Zma3g0667,Zma8g0260,,.
Osa01g00289,.,.,,.
Osa01g00290,.,.,,.
Osa01g00291,.,Zma8g0261,,.
Osa01g00292,Zma3g0670,Zma8g0359,,.
Osa01g00293,Zma3g0671,.,,.
Osa01g00294,Zma3g0667,Zma8g0264,,.
Osa01g00295,Zma3g0673,.,,.
Osa01g00296,Zma3g0666,.,,.
Osa01g00297,Zma3g0665,Zma8g0265,,.
Osa01g00298,Zma3g0664,.,,.
Osa01g00299,.,.,,.
Osa01g00300,.,.,,.
Osa01g00301,.,Zma8g0370,,.
Osa01g00302,Zma3g0663,Zma8g0369,,.
Osa01g00303,.,.,,Zma8g2864
Osa01g00304,Zma3g0662,Zma8g0368,,.
Osa01g00305,.,Zma8g0367,,Zma8g2873
Osa01g00306,.,.,,.
Osa01g00307,.,.,,.
Osa01g00308,.,.,,.
Osa01g00309,.,.,,.
Osa01g00310,Zma3g0656,.,,.
Osa01g00311,Zma3g0653,Zma8g0365,,.
Osa01g00312,.,.,,.
Osa01g00313,.,.,,Zma8g2874
Osa01g00314,.,.,,
Osa01g00315,Zma3g0652,.,,
Osa01g00316,.,Zma8g0363,,
Osa01g00317,.,.,,
Osa01g00318,Zma3g0651,Zma8g0362,,
Osa01g00319,Zma3g0650,.,,
Osa01g00320,.,Zma8g0361,,
Osa01g00321,Zma3g0649,Zma8g0375,,
Osa01g00322,Zma3g0648,.,,
Osa01g00323,Zma3g0647,.,,
Osa01g00324,.,Zma8g0376,,
Osa01g00325,Zma3g0643,Zma8g0378,,
Osa01g00326,.,Zma8g0380,,
Osa01g00327,.,.,,
Osa01g00328,Zma3g0639,.,,
Osa01g00329,.,Zma8g0382,,
Osa01g00330,.,.,,
Osa01g00331,.,.,,
Osa01g00332,.,.,,
Osa01g00333,Zma3g0638,.,,
Osa01g00334,.,Zma8g0383,,
Osa01g00335,.,.,,
Osa01g00336,Zma3g0635,Zma8g0384,,
Osa01g00337,.,Zma8g0385,,
Osa01g00338,Zma3g0633,Zma8g0386,,
Osa01g00339,Zma3g0631,,,
Osa01g00340,.,,,
Osa01g00341,Zma3g0629,,,
Osa01g00342,Zma3g0628,,,
Osa01g00343,Zma3g0627,,,
Osa01g00344,.,,,
Osa01g00345,.,,,
Osa01g00346,.,,,
Osa01g00347,.,,,
Osa01g00348,.,,,
Osa01g00349,.,,,
Osa01g00350,.,,,
Osa01g00351,.,,,
Osa01g00352,.,,,
Osa01g00353,.,,,
Osa01g00354,.,,,
Osa01g00355,.,,,
Osa01g00356,.,,,
Osa01g00357,.,,,
Osa01g00358,.,,,
Osa01g00359,.,,,
Osa01g00360,.,,,
Osa01g00361,.,,,
Osa01g00362,.,,,
Osa01g00363,.,,,
Osa01g00364,Zma3g0625,Zma8g0391,,
Osa01g00365,Zma3g0624,.,,
Osa01g00366,.,Zma8g0392,,
Osa01g00367,.,.,,
Osa01g00368,.,.,,
Osa01g00369,Zma3g0621,.,,
Osa01g00370,Zma3g0618,.,,
Osa01g00371,Zma3g0616,Zma8g0393,,
Osa01g00372,Zma3g0615,.,,
Osa01g00373,.,.,,
Osa01g00374,.,.,,
Osa01g00375,.,.,,
Osa01g00376,.,.,,
Osa01g00377,.,.,,
Osa01g00378,.,.,,
