Ssp1Ag0001,,,,,,,
Ssp1Ag0099,Ssp1Bg0063,Ssp1Cg0082,Ssp1Dg0122,Ssp1Ag2375,,,
Ssp1Ag0100,Ssp1Bg0065,Ssp1Cg0083,Ssp1Dg0123,.,,,
Ssp1Ag0101,.,Ssp1Cg0084,Ssp1Dg0125,Ssp1Ag2374,,,
Ssp1Ag0102,.,Ssp1Cg0087,Ssp1Dg0126,,,,
Ssp1Ag0103,.,Ssp1Cg0088,Ssp1Dg0127,,,,
Ssp1Ag0104,.,Ssp1Cg0089,Ssp1Dg0128,,,,
Ssp1Ag0105,Ssp1Bg0066,Ssp1Cg0091,Ssp1Dg0131,,,,
Ssp1Ag0106,Ssp1Bg0067,Ssp1Cg0092,.,,,,
Ssp1Ag0107,Ssp1Bg0068,Ssp1Cg0093,Ssp1Dg0133,,,,
Ssp1Ag0108,Ssp1Bg0069,.,Ssp1Dg0134,,,,
Ssp1Ag0109,Ssp1Bg0070,Ssp1Cg0094,Ssp1Dg0135,,,,
Ssp1Ag0110,.,.,.,,,,
Ssp1Ag0111,.,.,.,,,,
Ssp1Ag0112,Ssp1Bg0071,Ssp1Cg0095,.,,,Ssp1Cg1506,
Ssp1Ag0113,.,Ssp1Cg0096,.,,,Ssp1Cg1507,
Ssp1Ag0114,.,Ssp1Cg0097,.,,,Ssp1Cg1510,
Ssp1Ag0115,.,Ssp1Cg0098,.,,,.,
Ssp1Ag0116,Ssp1Bg0072,Ssp1Cg0100,Ssp1Dg0137,,,.,
Ssp1Ag0117,Ssp1Bg0073,Ssp1Cg0101,Ssp1Dg0138,,,.,
Ssp1Ag0118,Ssp1Bg0074,Ssp1Cg0102,Ssp1Dg0139,,,Ssp1Cg1522,
Ssp1Ag0119,Ssp1Bg0075,Ssp1Cg0103,Ssp1Dg0140,,,.,
Ssp1Ag0120,Ssp1Bg0076,Ssp1Cg0104,Ssp1Dg0141,,,.,
Ssp1Ag0121,.,.,Ssp1Dg0142,,,.,
Ssp1Ag0122,Ssp1Bg0077,Ssp1Cg0105,Ssp1Dg0143,,,.,
