Osa01g00073,Ssp3Ag2038,.,Ssp3Cg2571,.,,,,
Osa01g00074,Ssp3Ag2039,.,.,.,,,,
Osa01g00075,.,.,.,.,,,,
Osa01g00076,Ssp3Ag2040,.,.,.,,,,
Osa01g00077,.,.,.,.,,,,
Osa01g00078,Ssp3Ag2041,Ssp3Bg2215,Ssp3Cg2573,.,,,,
Osa01g00079,.,.,.,.,,,,
Osa01g00080,.,.,.,.,,,,
Osa01g00081,.,.,.,.,,,,
Osa01g00082,.,.,.,.,,,,
Osa01g00083,Ssp3Ag2043,Ssp3Bg2425,Ssp3Cg2574,.,,,,
Osa01g00084,Ssp3Ag2048,Ssp3Bg2426,Ssp3Cg2575,.,,,,
Osa01g00085,.,.,.,.,,,,
Osa01g00086,.,.,.,.,,,,
Osa01g00087,.,.,.,.,,,,
Osa01g00088,.,.,.,.,,,,
Osa01g00089,Ssp3Ag2049,.,Ssp3Cg2577,.,,,,
Osa01g00090,Ssp3Ag2050,Ssp3Bg2428,Ssp3Cg2578,Ssp3Dg1561,,,,
Osa01g00091,Ssp3Ag2051,Ssp3Bg2429,Ssp3Cg2579,.,,,,
Osa01g00092,Ssp3Ag2052,Ssp3Bg2431,Ssp3Cg2580,.,,,,
Osa01g00093,.,.,.,.,,,,
Osa01g00094,Ssp3Ag2035,Ssp3Bg2434,.,.,,,,
Osa01g00095,Ssp3Ag2034,Ssp3Bg2435,Ssp3Cg2582,Ssp3Dg1562,,,,
Osa01g00096,Ssp3Ag2032,Ssp3Bg2438,.,.,,,,
Osa01g00097,Ssp3Ag2031,Ssp3Bg2439,.,.,,,,
Osa01g00098,Ssp3Ag2059,.,Ssp3Cg2584,Ssp3Dg1565,,,,
Osa01g00099,Ssp3Ag2060,Ssp3Bg2227,.,.,,,,
Osa01g00100,.,.,.,.,,,,
Osa01g00101,.,.,.,.,,,,
Osa01g00102,.,.,.,.,,,,
Osa01g00103,.,.,.,.,,,,
Osa01g00104,.,.,.,.,,,,
Osa01g00105,.,.,.,.,,,,
Osa01g00106,Ssp3Ag2062,Ssp3Bg2230,Ssp3Cg2587,.,,,,
Osa01g00107,.,.,.,.,,,,
Osa01g00108,.,.,.,.,,,,
Osa01g00109,.,.,.,.,,,,
Osa01g00110,.,.,.,.,,,,
Osa01g00111,.,.,Ssp3Cg2600,Ssp3Dg1576,,,,
Osa01g00112,.,Ssp3Bg2231,.,Ssp3Dg1569,,,,
Osa01g00113,Ssp3Ag2067,.,Ssp3Cg2593,.,,,,
Osa01g00114,.,.,.,Ssp3Dg1575,,,,
Osa01g00115,.,.,.,.,,,,
Osa01g00116,.,.,.,Ssp3Dg1572,,,,
